respID,qID,altID,obsID,profileID,monthlyRent,location,distanceToMetro,squareFootage,fitnessCenter,twentyFourSevenConcierge,parking,communitySpace,utilitiesIncludedInRent
1,1,1,1,489,2500,Less than 1.5,More than 20/5,Smaller than 600,yes,yes,no,yes,no
1,1,2,1,258,2500,More than 1.5,Less than 20/5,Larger than 600,yes,no,yes,no,yes
1,1,3,1,384,2500,More than 1.5,More than 20/5,Larger than 600,no,no,no,no,yes
1,2,1,2,527,2000,More than 1.5,More than 20/5,Larger than 600,no,yes,no,yes,no
1,2,2,2,312,2500,More than 1.5,More than 20/5,Larger than 600,yes,yes,no,no,yes
1,2,3,2,382,1500,More than 1.5,More than 20/5,Larger than 600,no,no,no,no,yes
1,3,1,3,598,1500,More than 1.5,More than 20/5,Larger than 600,yes,yes,yes,no,no
1,3,2,3,711,2500,Less than 1.5,Less than 20/5,Larger than 600,no,yes,no,no,no
1,3,3,3,163,1500,Less than 1.5,More than 20/5,Larger than 600,yes,no,no,yes,yes
1,4,1,4,567,2500,Less than 1.5,Less than 20/5,Larger than 600,no,no,no,yes,no
1,4,2,4,667,1500,Less than 1.5,More than 20/5,Larger than 600,no,no,yes,no,no
1,4,3,4,610,1500,More than 1.5,More than 20/5,Smaller than 600,no,yes,yes,no,no
1,5,1,5,661,1500,Less than 1.5,Less than 20/5,Larger than 600,no,no,yes,no,no
1,5,2,5,374,2000,Less than 1.5,Less than 20/5,Larger than 600,no,no,no,no,yes
1,5,3,5,673,1500,Less than 1.5,Less than 20/5,Smaller than 600,yes,yes,no,no,no
1,6,1,6,239,2000,More than 1.5,More than 20/5,Larger than 600,no,yes,yes,no,yes
1,6,2,6,509,2000,More than 1.5,Less than 20/5,Smaller than 600,no,yes,no,yes,no
1,6,3,6,12,2500,More than 1.5,More than 20/5,Smaller than 600,yes,yes,yes,yes,yes
1,7,1,7,461,2000,More than 1.5,Less than 20/5,Smaller than 600,no,no,yes,yes,no
1,7,2,7,701,2000,More than 1.5,Less than 20/5,Smaller than 600,no,yes,no,no,no
1,7,3,7,668,2000,Less than 1.5,More than 20/5,Larger than 600,no,no,yes,no,no
1,8,1,8,236,2000,Less than 1.5,More than 20/5,Larger than 600,no,yes,yes,no,yes
1,8,2,8,334,1500,More than 1.5,More than 20/5,Larger than 600,no,yes,no,no,yes
1,8,3,8,631,1500,Less than 1.5,More than 20/5,Smaller than 600,yes,no,yes,no,no
2,1,1,9,20,2000,Less than 1.5,More than 20/5,Larger than 600,yes,yes,yes,yes,yes
2,1,2,9,594,2500,More than 1.5,Less than 20/5,Larger than 600,yes,yes,yes,no,no
2,1,3,9,52,1500,More than 1.5,Less than 20/5,Smaller than 600,yes,no,yes,yes,yes
2,2,1,10,492,2500,More than 1.5,More than 20/5,Smaller than 600,yes,yes,no,yes,no
2,2,2,10,386,2000,Less than 1.5,Less than 20/5,Smaller than 600,yes,yes,yes,yes,no
2,2,3,10,241,1500,Less than 1.5,Less than 20/5,Smaller than 600,yes,no,yes,no,yes
2,3,1,11,593,2000,More than 1.5,Less than 20/5,Larger than 600,yes,yes,yes,no,no
2,3,2,11,55,1500,Less than 1.5,More than 20/5,Smaller than 600,yes,no,yes,yes,yes
2,3,3,11,631,1500,Less than 1.5,More than 20/5,Smaller than 600,yes,no,yes,no,no
2,4,1,12,601,1500,Less than 1.5,Less than 20/5,Smaller than 600,no,yes,yes,no,no
2,4,2,12,255,2500,Less than 1.5,Less than 20/5,Larger than 600,yes,no,yes,no,yes
2,4,3,12,233,2000,More than 1.5,Less than 20/5,Larger than 600,no,yes,yes,no,yes
2,5,1,13,536,2000,Less than 1.5,More than 20/5,Smaller than 600,yes,no,no,yes,no
2,5,2,13,215,2000,More than 1.5,More than 20/5,Larger than 600,yes,yes,yes,no,yes
2,5,3,13,79,1500,Less than 1.5,More than 20/5,Smaller than 600,no,no,yes,yes,yes
2,6,1,14,397,1500,Less than 1.5,Less than 20/5,Larger than 600,yes,yes,yes,yes,no
2,6,2,14,486,2500,More than 1.5,Less than 20/5,Smaller than 600,yes,yes,no,yes,no
2,6,3,14,324,2500,More than 1.5,More than 20/5,Smaller than 600,no,yes,no,no,yes
2,7,1,15,273,2500,Less than 1.5,More than 20/5,Smaller than 600,no,no,yes,no,yes
2,7,2,15,664,1500,More than 1.5,Less than 20/5,Larger than 600,no,no,yes,no,no
2,7,3,15,520,1500,More than 1.5,Less than 20/5,Larger than 600,no,yes,no,yes,no
2,8,1,16,391,1500,Less than 1.5,More than 20/5,Smaller than 600,yes,yes,yes,yes,no
2,8,2,16,168,2500,More than 1.5,More than 20/5,Larger than 600,yes,no,no,yes,yes
2,8,3,16,365,2000,More than 1.5,Less than 20/5,Smaller than 600,no,no,no,no,yes
3,1,1,17,66,2500,More than 1.5,Less than 20/5,Larger than 600,yes,no,yes,yes,yes
3,1,2,17,629,2000,More than 1.5,Less than 20/5,Smaller than 600,yes,no,yes,no,no
3,1,3,17,700,1500,More than 1.5,Less than 20/5,Smaller than 600,no,yes,no,no,no
3,2,1,18,321,2500,Less than 1.5,More than 20/5,Smaller than 600,no,yes,no,no,yes
3,2,2,18,351,2500,Less than 1.5,Less than 20/5,Larger than 600,yes,no,no,no,yes
3,2,3,18,109,1500,Less than 1.5,Less than 20/5,Larger than 600,yes,yes,no,yes,yes
3,3,1,19,540,2500,More than 1.5,More than 20/5,Smaller than 600,yes,no,no,yes,no
3,3,2,19,660,2500,More than 1.5,More than 20/5,Smaller than 600,no,no,yes,no,no
3,3,3,19,268,1500,More than 1.5,Less than 20/5,Smaller than 600,no,no,yes,no,yes
3,4,1,20,544,1500,More than 1.5,Less than 20/5,Larger than 600,yes,no,no,yes,no
3,4,2,20,670,1500,More than 1.5,More than 20/5,Larger than 600,no,no,yes,no,no
3,4,3,20,196,1500,More than 1.5,Less than 20/5,Smaller than 600,yes,yes,yes,no,yes
3,5,1,21,202,1500,More than 1.5,More than 20/5,Smaller than 600,yes,yes,yes,no,yes
3,5,2,21,283,1500,Less than 1.5,More than 20/5,Larger than 600,no,no,yes,no,yes
3,5,3,21,697,1500,Less than 1.5,Less than 20/5,Smaller than 600,no,yes,no,no,no
3,6,1,22,198,2500,More than 1.5,Less than 20/5,Smaller than 600,yes,yes,yes,no,yes
3,6,2,22,759,2500,Less than 1.5,Less than 20/5,Larger than 600,no,no,no,no,no
3,6,3,22,106,1500,More than 1.5,More than 20/5,Smaller than 600,yes,yes,no,yes,yes
3,7,1,23,725,2000,More than 1.5,Less than 20/5,Smaller than 600,yes,no,no,no,no
3,7,2,23,550,1500,More than 1.5,More than 20/5,Larger than 600,yes,no,no,yes,no
3,7,3,23,211,1500,Less than 1.5,More than 20/5,Larger than 600,yes,yes,yes,no,yes
3,8,1,24,581,2000,More than 1.5,Less than 20/5,Smaller than 600,yes,yes,yes,no,no
3,8,2,24,503,2000,More than 1.5,More than 20/5,Larger than 600,yes,yes,no,yes,no
3,8,3,24,158,2000,Less than 1.5,Less than 20/5,Larger than 600,yes,no,no,yes,yes
4,1,1,25,259,1500,Less than 1.5,More than 20/5,Larger than 600,yes,no,yes,no,yes
4,1,2,25,438,2500,More than 1.5,Less than 20/5,Smaller than 600,yes,no,yes,yes,no
4,1,3,25,348,2500,More than 1.5,More than 20/5,Smaller than 600,yes,no,no,no,yes
4,2,1,26,67,1500,Less than 1.5,More than 20/5,Larger than 600,yes,no,yes,yes,yes
4,2,2,26,65,2000,More than 1.5,Less than 20/5,Larger than 600,yes,no,yes,yes,yes
4,2,3,26,410,2000,Less than 1.5,Less than 20/5,Smaller than 600,no,yes,yes,yes,no
4,3,1,27,741,2500,Less than 1.5,More than 20/5,Larger than 600,yes,no,no,no,no
4,3,2,27,327,2500,Less than 1.5,Less than 20/5,Larger than 600,no,yes,no,no,yes
4,3,3,27,256,1500,More than 1.5,Less than 20/5,Larger than 600,yes,no,yes,no,yes
4,4,1,28,485,2000,More than 1.5,Less than 20/5,Smaller than 600,yes,yes,no,yes,no
4,4,2,28,699,2500,Less than 1.5,Less than 20/5,Smaller than 600,no,yes,no,no,no
4,4,3,28,696,2500,More than 1.5,More than 20/5,Larger than 600,yes,yes,no,no,no
4,5,1,29,115,1500,Less than 1.5,More than 20/5,Larger than 600,yes,yes,no,yes,yes
4,5,2,29,612,2500,More than 1.5,More than 20/5,Smaller than 600,no,yes,yes,no,no
4,5,3,29,65,2000,More than 1.5,Less than 20/5,Larger than 600,yes,no,yes,yes,yes
4,6,1,30,458,2000,Less than 1.5,Less than 20/5,Smaller than 600,no,no,yes,yes,no
4,6,2,30,226,1500,More than 1.5,More than 20/5,Smaller than 600,no,yes,yes,no,yes
4,6,3,30,678,2500,More than 1.5,Less than 20/5,Smaller than 600,yes,yes,no,no,no
4,7,1,31,420,2500,More than 1.5,More than 20/5,Smaller than 600,no,yes,yes,yes,no
4,7,2,31,582,2500,More than 1.5,Less than 20/5,Smaller than 600,yes,yes,yes,no,no
4,7,3,31,752,2000,Less than 1.5,More than 20/5,Smaller than 600,no,no,no,no,no
4,8,1,32,700,1500,More than 1.5,Less than 20/5,Smaller than 600,no,yes,no,no,no
4,8,2,32,445,1500,Less than 1.5,Less than 20/5,Larger than 600,yes,no,yes,yes,no
4,8,3,32,409,1500,Less than 1.5,Less than 20/5,Smaller than 600,no,yes,yes,yes,no
5,1,1,33,435,2500,Less than 1.5,Less than 20/5,Smaller than 600,yes,no,yes,yes,no
5,1,2,33,489,2500,Less than 1.5,More than 20/5,Smaller than 600,yes,yes,no,yes,no
5,1,3,33,54,2500,More than 1.5,Less than 20/5,Smaller than 600,yes,no,yes,yes,yes
5,2,1,34,646,1500,More than 1.5,More than 20/5,Larger than 600,yes,no,yes,no,no
5,2,2,34,521,2000,More than 1.5,Less than 20/5,Larger than 600,no,yes,no,yes,no
5,2,3,34,411,2500,Less than 1.5,Less than 20/5,Smaller than 600,no,yes,yes,yes,no
5,3,1,35,313,1500,Less than 1.5,Less than 20/5,Smaller than 600,no,yes,no,no,yes
5,3,2,35,26,2000,Less than 1.5,Less than 20/5,Smaller than 600,no,yes,yes,yes,yes
5,3,3,35,621,2500,Less than 1.5,More than 20/5,Larger than 600,no,yes,yes,no,no
5,4,1,36,394,1500,More than 1.5,More than 20/5,Smaller than 600,yes,yes,yes,yes,no
5,4,2,36,653,2000,More than 1.5,Less than 20/5,Smaller than 600,no,no,yes,no,no
5,4,3,36,480,2500,More than 1.5,More than 20/5,Larger than 600,no,no,yes,yes,no
5,5,1,37,508,1500,More than 1.5,Less than 20/5,Smaller than 600,no,yes,no,yes,no
5,5,2,37,578,2000,Less than 1.5,Less than 20/5,Smaller than 600,yes,yes,yes,no,no
5,5,3,37,496,1500,More than 1.5,Less than 20/5,Larger than 600,yes,yes,no,yes,no
5,6,1,38,717,2500,Less than 1.5,More than 20/5,Larger than 600,no,yes,no,no,no
5,6,2,38,433,1500,Less than 1.5,Less than 20/5,Smaller than 600,yes,no,yes,yes,no
5,6,3,38,745,1500,Less than 1.5,Less than 20/5,Smaller than 600,no,no,no,no,no
5,7,1,39,717,2500,Less than 1.5,More than 20/5,Larger than 600,no,yes,no,no,no
5,7,2,39,165,2500,Less than 1.5,More than 20/5,Larger than 600,yes,no,no,yes,yes
5,7,3,39,581,2000,More than 1.5,Less than 20/5,Smaller than 600,yes,yes,yes,no,no
5,8,1,40,666,2500,More than 1.5,Less than 20/5,Larger than 600,no,no,yes,no,no
5,8,2,40,31,1500,Less than 1.5,More than 20/5,Smaller than 600,no,yes,yes,yes,yes
5,8,3,40,442,1500,More than 1.5,More than 20/5,Smaller than 600,yes,no,yes,yes,no
6,1,1,41,65,2000,More than 1.5,Less than 20/5,Larger than 600,yes,no,yes,yes,yes
6,1,2,41,477,2500,Less than 1.5,More than 20/5,Larger than 600,no,no,yes,yes,no
6,1,3,41,603,2500,Less than 1.5,Less than 20/5,Smaller than 600,no,yes,yes,no,no
6,2,1,42,113,2000,More than 1.5,Less than 20/5,Larger than 600,yes,yes,no,yes,yes
6,2,2,42,244,1500,More than 1.5,Less than 20/5,Smaller than 600,yes,no,yes,no,yes
6,2,3,42,650,2000,Less than 1.5,Less than 20/5,Smaller than 600,no,no,yes,no,no
6,3,1,43,754,1500,More than 1.5,More than 20/5,Smaller than 600,no,no,no,no,no
6,3,2,43,513,2500,Less than 1.5,More than 20/5,Smaller than 600,no,yes,no,yes,no
6,3,3,43,562,1500,More than 1.5,More than 20/5,Smaller than 600,no,no,no,yes,no
6,4,1,44,752,2000,Less than 1.5,More than 20/5,Smaller than 600,no,no,no,no,no
6,4,2,44,436,1500,More than 1.5,Less than 20/5,Smaller than 600,yes,no,yes,yes,no
6,4,3,44,324,2500,More than 1.5,More than 20/5,Smaller than 600,no,yes,no,no,yes
6,5,1,45,211,1500,Less than 1.5,More than 20/5,Larger than 600,yes,yes,yes,no,yes
6,5,2,45,504,2500,More than 1.5,More than 20/5,Larger than 600,yes,yes,no,yes,no
6,5,3,45,614,2000,Less than 1.5,Less than 20/5,Larger than 600,no,yes,yes,no,no
6,6,1,46,218,2000,Less than 1.5,Less than 20/5,Smaller than 600,no,yes,yes,no,yes
6,6,2,46,321,2500,Less than 1.5,More than 20/5,Smaller than 600,no,yes,no,no,yes
6,6,3,46,576,2500,More than 1.5,More than 20/5,Larger than 600,no,no,no,yes,no
6,7,1,47,763,1500,Less than 1.5,More than 20/5,Larger than 600,no,no,no,no,no
6,7,2,47,60,2500,More than 1.5,More than 20/5,Smaller than 600,yes,no,yes,yes,yes
6,7,3,47,299,2000,More than 1.5,More than 20/5,Smaller than 600,yes,yes,no,no,yes
6,8,1,48,636,2500,More than 1.5,More than 20/5,Smaller than 600,yes,no,yes,no,no
6,8,2,48,388,1500,More than 1.5,Less than 20/5,Smaller than 600,yes,yes,yes,yes,no
6,8,3,48,180,2500,More than 1.5,More than 20/5,Smaller than 600,no,no,no,yes,yes
7,1,1,49,150,2500,More than 1.5,Less than 20/5,Smaller than 600,yes,no,no,yes,yes
7,1,2,49,38,2000,Less than 1.5,Less than 20/5,Larger than 600,no,yes,yes,yes,yes
7,1,3,49,28,1500,More than 1.5,Less than 20/5,Smaller than 600,no,yes,yes,yes,yes
7,2,1,50,536,2000,Less than 1.5,More than 20/5,Smaller than 600,yes,no,no,yes,no
7,2,2,50,441,2500,Less than 1.5,More than 20/5,Smaller than 600,yes,no,yes,yes,no
7,2,3,50,250,1500,More than 1.5,More than 20/5,Smaller than 600,yes,no,yes,no,yes
7,3,1,51,683,2000,More than 1.5,More than 20/5,Smaller than 600,yes,yes,no,no,no
7,3,2,51,35,2000,More than 1.5,More than 20/5,Smaller than 600,no,yes,yes,yes,yes
7,3,3,51,7,1500,Less than 1.5,More than 20/5,Smaller than 600,yes,yes,yes,yes,yes
7,4,1,52,427,1500,Less than 1.5,More than 20/5,Larger than 600,no,yes,yes,yes,no
7,4,2,52,236,2000,Less than 1.5,More than 20/5,Larger than 600,no,yes,yes,no,yes
7,4,3,52,612,2500,More than 1.5,More than 20/5,Smaller than 600,no,yes,yes,no,no
7,5,1,53,487,1500,Less than 1.5,More than 20/5,Smaller than 600,yes,yes,no,yes,no
7,5,2,53,413,2000,More than 1.5,Less than 20/5,Smaller than 600,no,yes,yes,yes,no
7,5,3,53,737,2000,More than 1.5,Less than 20/5,Larger than 600,yes,no,no,no,no
7,6,1,54,104,2000,Less than 1.5,More than 20/5,Smaller than 600,yes,yes,no,yes,yes
7,6,2,54,13,1500,Less than 1.5,Less than 20/5,Larger than 600,yes,yes,yes,yes,yes
7,6,3,54,47,2000,More than 1.5,More than 20/5,Larger than 600,no,yes,yes,yes,yes
7,7,1,55,440,2000,Less than 1.5,More than 20/5,Smaller than 600,yes,no,yes,yes,no
7,7,2,55,192,2500,More than 1.5,More than 20/5,Larger than 600,no,no,no,yes,yes
7,7,3,55,755,2000,More than 1.5,More than 20/5,Smaller than 600,no,no,no,no,no
7,8,1,56,27,2500,Less than 1.5,Less than 20/5,Smaller than 600,no,yes,yes,yes,yes
7,8,2,56,287,2000,More than 1.5,More than 20/5,Larger than 600,no,no,yes,no,yes
7,8,3,56,55,1500,Less than 1.5,More than 20/5,Smaller than 600,yes,no,yes,yes,yes
8,1,1,57,245,2000,More than 1.5,Less than 20/5,Smaller than 600,yes,no,yes,no,yes
8,1,2,57,616,1500,More than 1.5,Less than 20/5,Larger than 600,no,yes,yes,no,no
8,1,3,57,249,2500,Less than 1.5,More than 20/5,Smaller than 600,yes,no,yes,no,yes
8,2,1,58,435,2500,Less than 1.5,Less than 20/5,Smaller than 600,yes,no,yes,yes,no
8,2,2,58,673,1500,Less than 1.5,Less than 20/5,Smaller than 600,yes,yes,no,no,no
8,2,3,58,324,2500,More than 1.5,More than 20/5,Smaller than 600,no,yes,no,no,yes
8,3,1,59,553,1500,Less than 1.5,Less than 20/5,Smaller than 600,no,no,no,yes,no
8,3,2,59,476,2000,Less than 1.5,More than 20/5,Larger than 600,no,no,yes,yes,no
8,3,3,59,726,2500,More than 1.5,Less than 20/5,Smaller than 600,yes,no,no,no,no
8,4,1,60,485,2000,More than 1.5,Less than 20/5,Smaller than 600,yes,yes,no,yes,no
8,4,2,60,137,2000,More than 1.5,Less than 20/5,Larger than 600,no,yes,no,yes,yes
8,4,3,60,624,2500,More than 1.5,More than 20/5,Larger than 600,no,yes,yes,no,no
8,5,1,61,68,2000,Less than 1.5,More than 20/5,Larger than 600,yes,no,yes,yes,yes
8,5,2,61,752,2000,Less than 1.5,More than 20/5,Smaller than 600,no,no,no,no,no
8,5,3,61,629,2000,More than 1.5,Less than 20/5,Smaller than 600,yes,no,yes,no,no
8,6,1,62,145,1500,Less than 1.5,Less than 20/5,Smaller than 600,yes,no,no,yes,yes
8,6,2,62,195,2500,Less than 1.5,Less than 20/5,Smaller than 600,yes,yes,yes,no,yes
8,6,3,62,624,2500,More than 1.5,More than 20/5,Larger than 600,no,yes,yes,no,no
8,7,1,63,552,2500,More than 1.5,More than 20/5,Larger than 600,yes,no,no,yes,no
8,7,2,63,131,2000,More than 1.5,More than 20/5,Smaller than 600,no,yes,no,yes,yes
